"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1";"20. Neyman CARA";"20. Neyman CARA";1;414;107;307;513;487
"2";"20. Neyman CARA";"20. Neyman CARA";2;392;97;295;499;501
"3";"20. Neyman CARA";"20. Neyman CARA";3;198;191;7;992;8
"4";"20. Neyman CARA";"20. Neyman CARA";4;217;212;5;993;7
"5";"20. Neyman CARA";"20. Neyman CARA";5;394;124;270;560;440
"6";"20. Neyman CARA";"20. Neyman CARA";6;200;198;2;994;6
"7";"20. Neyman CARA";"20. Neyman CARA";7;412;98;314;478;522
"8";"20. Neyman CARA";"20. Neyman CARA";8;541;132;409;513;487
"9";"20. Neyman CARA";"20. Neyman CARA";9;394;102;292;512;488
"10";"20. Neyman CARA";"20. Neyman CARA";10;551;160;391;514;486
"11";"20. Neyman CARA";"20. Neyman CARA";11;393;87;306;473;527
"12";"20. Neyman CARA";"20. Neyman CARA";12;515;133;382;515;485
"13";"20. Neyman CARA";"20. Neyman CARA";13;224;219;5;994;6
"14";"20. Neyman CARA";"20. Neyman CARA";14;505;125;380;514;486
"15";"20. Neyman CARA";"20. Neyman CARA";15;438;123;315;503;497
"16";"20. Neyman CARA";"20. Neyman CARA";16;228;225;3;994;6
"17";"20. Neyman CARA";"20. Neyman CARA";17;218;213;5;994;6
"18";"20. Neyman CARA";"20. Neyman CARA";18;405;116;289;500;500
"19";"20. Neyman CARA";"20. Neyman CARA";19;522;160;362;517;483
"20";"20. Neyman CARA";"20. Neyman CARA";20;225;216;9;990;10
"21";"20. Neyman CARA";"20. Neyman CARA";21;250;43;207;485;515
"22";"20. Neyman CARA";"20. Neyman CARA";22;537;151;386;515;485
"23";"20. Neyman CARA";"20. Neyman CARA";23;559;159;400;513;487
"24";"20. Neyman CARA";"20. Neyman CARA";24;533;144;389;514;486
"25";"20. Neyman CARA";"20. Neyman CARA";25;422;91;331;451;549
"26";"20. Neyman CARA";"20. Neyman CARA";26;394;94;300;494;506
"27";"20. Neyman CARA";"20. Neyman CARA";27;385;110;275;519;481
"28";"20. Neyman CARA";"20. Neyman CARA";28;375;108;267;600;400
"29";"20. Neyman CARA";"20. Neyman CARA";29;225;203;22;968;32
"30";"20. Neyman CARA";"20. Neyman CARA";30;546;153;393;514;486
"31";"20. Neyman CARA";"20. Neyman CARA";31;541;147;394;515;485
"32";"20. Neyman CARA";"20. Neyman CARA";32;409;118;291;510;490
"33";"20. Neyman CARA";"20. Neyman CARA";33;225;221;4;993;7
"34";"20. Neyman CARA";"20. Neyman CARA";34;464;129;335;501;499
"35";"20. Neyman CARA";"20. Neyman CARA";35;409;99;310;501;499
"36";"20. Neyman CARA";"20. Neyman CARA";36;207;205;2;993;7
"37";"20. Neyman CARA";"20. Neyman CARA";37;428;123;305;515;485
"38";"20. Neyman CARA";"20. Neyman CARA";38;551;150;401;516;484
"39";"20. Neyman CARA";"20. Neyman CARA";39;414;118;296;493;507
"40";"20. Neyman CARA";"20. Neyman CARA";40;225;219;6;993;7
"41";"20. Neyman CARA";"20. Neyman CARA";41;478;133;345;523;477
"42";"20. Neyman CARA";"20. Neyman CARA";42;552;157;395;514;486
"43";"20. Neyman CARA";"20. Neyman CARA";43;542;160;382;515;485
"44";"20. Neyman CARA";"20. Neyman CARA";44;181;176;5;993;7
"45";"20. Neyman CARA";"20. Neyman CARA";45;531;149;382;515;485
"46";"20. Neyman CARA";"20. Neyman CARA";46;408;88;320;471;529
"47";"20. Neyman CARA";"20. Neyman CARA";47;382;92;290;507;493
"48";"20. Neyman CARA";"20. Neyman CARA";48;214;211;3;993;7
"49";"20. Neyman CARA";"20. Neyman CARA";49;533;140;393;516;484
"50";"20. Neyman CARA";"20. Neyman CARA";50;384;90;294;512;488
"51";"20. Neyman CARA";"20. Neyman CARA";51;408;107;301;497;503
"52";"20. Neyman CARA";"20. Neyman CARA";52;532;158;374;519;481
"53";"20. Neyman CARA";"20. Neyman CARA";53;519;148;371;515;485
"54";"20. Neyman CARA";"20. Neyman CARA";54;261;53;208;486;514
"55";"20. Neyman CARA";"20. Neyman CARA";55;209;206;3;995;5
"56";"20. Neyman CARA";"20. Neyman CARA";56;373;87;286;529;471
"57";"20. Neyman CARA";"20. Neyman CARA";57;354;87;267;483;517
"58";"20. Neyman CARA";"20. Neyman CARA";58;411;115;296;513;487
"59";"20. Neyman CARA";"20. Neyman CARA";59;404;132;272;531;469
"60";"20. Neyman CARA";"20. Neyman CARA";60;203;187;16;976;24
"61";"20. Neyman CARA";"20. Neyman CARA";61;181;178;3;995;5
"62";"20. Neyman CARA";"20. Neyman CARA";62;389;108;281;517;483
"63";"20. Neyman CARA";"20. Neyman CARA";63;387;108;279;543;457
"64";"20. Neyman CARA";"20. Neyman CARA";64;223;219;4;993;7
"65";"20. Neyman CARA";"20. Neyman CARA";65;556;159;397;514;486
"66";"20. Neyman CARA";"20. Neyman CARA";66;189;183;6;993;7
"67";"20. Neyman CARA";"20. Neyman CARA";67;548;153;395;515;485
"68";"20. Neyman CARA";"20. Neyman CARA";68;201;196;5;994;6
"69";"20. Neyman CARA";"20. Neyman CARA";69;405;103;302;527;473
"70";"20. Neyman CARA";"20. Neyman CARA";70;528;148;380;515;485
"71";"20. Neyman CARA";"20. Neyman CARA";71;216;208;8;989;11
"72";"20. Neyman CARA";"20. Neyman CARA";72;212;209;3;995;5
"73";"20. Neyman CARA";"20. Neyman CARA";73;391;85;306;459;541
"74";"20. Neyman CARA";"20. Neyman CARA";74;227;45;182;485;515
"75";"20. Neyman CARA";"20. Neyman CARA";75;413;81;332;455;545
"76";"20. Neyman CARA";"20. Neyman CARA";76;321;76;245;478;522
"77";"20. Neyman CARA";"20. Neyman CARA";77;197;192;5;994;6
"78";"20. Neyman CARA";"20. Neyman CARA";78;554;155;399;514;486
"79";"20. Neyman CARA";"20. Neyman CARA";79;406;107;299;485;515
"80";"20. Neyman CARA";"20. Neyman CARA";80;211;203;8;986;14
"81";"20. Neyman CARA";"20. Neyman CARA";81;213;208;5;993;7
"82";"20. Neyman CARA";"20. Neyman CARA";82;361;116;245;615;385
"83";"20. Neyman CARA";"20. Neyman CARA";83;392;96;296;505;495
"84";"20. Neyman CARA";"20. Neyman CARA";84;233;230;3;994;6
"85";"20. Neyman CARA";"20. Neyman CARA";85;181;177;4;994;6
"86";"20. Neyman CARA";"20. Neyman CARA";86;411;97;314;459;541
"87";"20. Neyman CARA";"20. Neyman CARA";87;378;106;272;556;444
"88";"20. Neyman CARA";"20. Neyman CARA";88;562;172;390;515;485
"89";"20. Neyman CARA";"20. Neyman CARA";89;421;110;311;491;509
"90";"20. Neyman CARA";"20. Neyman CARA";90;186;179;7;990;10
"91";"20. Neyman CARA";"20. Neyman CARA";91;405;108;297;511;489
"92";"20. Neyman CARA";"20. Neyman CARA";92;530;146;384;520;480
"93";"20. Neyman CARA";"20. Neyman CARA";93;529;145;384;514;486
"94";"20. Neyman CARA";"20. Neyman CARA";94;402;90;312;491;509
"95";"20. Neyman CARA";"20. Neyman CARA";95;200;194;6;993;7
"96";"20. Neyman CARA";"20. Neyman CARA";96;222;217;5;994;6
"97";"20. Neyman CARA";"20. Neyman CARA";97;400;97;303;499;501
"98";"20. Neyman CARA";"20. Neyman CARA";98;269;159;110;825;175
"99";"20. Neyman CARA";"20. Neyman CARA";99;205;199;6;991;9
"100";"20. Neyman CARA";"20. Neyman CARA";100;399;90;309;482;518
"101";"20. Neyman CARA";"20. Neyman CARA";101;370;104;266;556;444
"102";"20. Neyman CARA";"20. Neyman CARA";102;420;97;323;476;524
"103";"20. Neyman CARA";"20. Neyman CARA";103;406;109;297;500;500
"104";"20. Neyman CARA";"20. Neyman CARA";104;386;95;291;513;487
"105";"20. Neyman CARA";"20. Neyman CARA";105;210;206;4;994;6
"106";"20. Neyman CARA";"20. Neyman CARA";106;413;111;302;507;493
"107";"20. Neyman CARA";"20. Neyman CARA";107;252;47;205;486;514
"108";"20. Neyman CARA";"20. Neyman CARA";108;267;57;210;488;512
"109";"20. Neyman CARA";"20. Neyman CARA";109;191;186;5;994;6
"110";"20. Neyman CARA";"20. Neyman CARA";110;417;114;303;505;495
"111";"20. Neyman CARA";"20. Neyman CARA";111;551;154;397;515;485
"112";"20. Neyman CARA";"20. Neyman CARA";112;397;107;290;503;497
"113";"20. Neyman CARA";"20. Neyman CARA";113;527;146;381;516;484
"114";"20. Neyman CARA";"20. Neyman CARA";114;248;166;82;863;137
"115";"20. Neyman CARA";"20. Neyman CARA";115;545;165;380;515;485
"116";"20. Neyman CARA";"20. Neyman CARA";116;510;128;382;513;487
"117";"20. Neyman CARA";"20. Neyman CARA";117;426;112;314;488;512
"118";"20. Neyman CARA";"20. Neyman CARA";118;194;188;6;992;8
"119";"20. Neyman CARA";"20. Neyman CARA";119;400;116;284;536;464
"120";"20. Neyman CARA";"20. Neyman CARA";120;342;64;278;462;538
"121";"20. Neyman CARA";"20. Neyman CARA";121;401;89;312;486;514
"122";"20. Neyman CARA";"20. Neyman CARA";122;186;182;4;994;6
"123";"20. Neyman CARA";"20. Neyman CARA";123;241;232;9;986;14
"124";"20. Neyman CARA";"20. Neyman CARA";124;525;172;353;530;470
"125";"20. Neyman CARA";"20. Neyman CARA";125;250;52;198;489;511
"126";"20. Neyman CARA";"20. Neyman CARA";126;414;97;317;476;524
"127";"20. Neyman CARA";"20. Neyman CARA";127;195;191;4;993;7
"128";"20. Neyman CARA";"20. Neyman CARA";128;293;66;227;489;511
"129";"20. Neyman CARA";"20. Neyman CARA";129;207;202;5;994;6
"130";"20. Neyman CARA";"20. Neyman CARA";130;391;91;300;482;518
"131";"20. Neyman CARA";"20. Neyman CARA";131;195;188;7;989;11
"132";"20. Neyman CARA";"20. Neyman CARA";132;389;111;278;497;503
"133";"20. Neyman CARA";"20. Neyman CARA";133;398;101;297;489;511
"134";"20. Neyman CARA";"20. Neyman CARA";134;385;77;308;477;523
"135";"20. Neyman CARA";"20. Neyman CARA";135;401;97;304;495;505
"136";"20. Neyman CARA";"20. Neyman CARA";136;395;94;301;504;496
"137";"20. Neyman CARA";"20. Neyman CARA";137;211;207;4;993;7
"138";"20. Neyman CARA";"20. Neyman CARA";138;447;110;337;501;499
"139";"20. Neyman CARA";"20. Neyman CARA";139;395;96;299;493;507
"140";"20. Neyman CARA";"20. Neyman CARA";140;203;199;4;995;5
"141";"20. Neyman CARA";"20. Neyman CARA";141;398;84;314;486;514
"142";"20. Neyman CARA";"20. Neyman CARA";142;221;217;4;986;14
"143";"20. Neyman CARA";"20. Neyman CARA";143;430;106;324;486;514
"144";"20. Neyman CARA";"20. Neyman CARA";144;185;180;5;993;7
"145";"20. Neyman CARA";"20. Neyman CARA";145;403;111;292;546;454
"146";"20. Neyman CARA";"20. Neyman CARA";146;224;219;5;994;6
"147";"20. Neyman CARA";"20. Neyman CARA";147;541;144;397;515;485
"148";"20. Neyman CARA";"20. Neyman CARA";148;229;227;2;994;6
"149";"20. Neyman CARA";"20. Neyman CARA";149;380;108;272;496;504
"150";"20. Neyman CARA";"20. Neyman CARA";150;294;61;233;472;528
"151";"20. Neyman CARA";"20. Neyman CARA";151;212;207;5;992;8
"152";"20. Neyman CARA";"20. Neyman CARA";152;559;158;401;515;485
"153";"20. Neyman CARA";"20. Neyman CARA";153;403;99;304;497;503
"154";"20. Neyman CARA";"20. Neyman CARA";154;389;99;290;503;497
"155";"20. Neyman CARA";"20. Neyman CARA";155;425;115;310;486;514
"156";"20. Neyman CARA";"20. Neyman CARA";156;196;192;4;995;5
"157";"20. Neyman CARA";"20. Neyman CARA";157;412;116;296;506;494
"158";"20. Neyman CARA";"20. Neyman CARA";158;521;141;380;515;485
"159";"20. Neyman CARA";"20. Neyman CARA";159;216;213;3;995;5
"160";"20. Neyman CARA";"20. Neyman CARA";160;408;100;308;479;521
"161";"20. Neyman CARA";"20. Neyman CARA";161;183;179;4;993;7
"162";"20. Neyman CARA";"20. Neyman CARA";162;390;90;300;506;494
"163";"20. Neyman CARA";"20. Neyman CARA";163;209;199;10;985;15
"164";"20. Neyman CARA";"20. Neyman CARA";164;202;197;5;993;7
"165";"20. Neyman CARA";"20. Neyman CARA";165;402;113;289;512;488
"166";"20. Neyman CARA";"20. Neyman CARA";166;370;115;255;561;439
"167";"20. Neyman CARA";"20. Neyman CARA";167;400;113;287;529;471
"168";"20. Neyman CARA";"20. Neyman CARA";168;212;205;7;992;8
"169";"20. Neyman CARA";"20. Neyman CARA";169;399;113;286;508;492
"170";"20. Neyman CARA";"20. Neyman CARA";170;258;52;206;488;512
"171";"20. Neyman CARA";"20. Neyman CARA";171;414;107;307;496;504
"172";"20. Neyman CARA";"20. Neyman CARA";172;206;201;5;994;6
"173";"20. Neyman CARA";"20. Neyman CARA";173;450;128;322;516;484
"174";"20. Neyman CARA";"20. Neyman CARA";174;209;204;5;989;11
"175";"20. Neyman CARA";"20. Neyman CARA";175;382;101;281;530;470
"176";"20. Neyman CARA";"20. Neyman CARA";176;233;191;42;934;66
"177";"20. Neyman CARA";"20. Neyman CARA";177;422;109;313;480;520
"178";"20. Neyman CARA";"20. Neyman CARA";178;455;114;341;487;513
"179";"20. Neyman CARA";"20. Neyman CARA";179;207;204;3;995;5
"180";"20. Neyman CARA";"20. Neyman CARA";180;273;55;218;484;516
"181";"20. Neyman CARA";"20. Neyman CARA";181;421;99;322;514;486
"182";"20. Neyman CARA";"20. Neyman CARA";182;195;190;5;991;9
"183";"20. Neyman CARA";"20. Neyman CARA";183;211;205;6;993;7
"184";"20. Neyman CARA";"20. Neyman CARA";184;543;148;395;515;485
"185";"20. Neyman CARA";"20. Neyman CARA";185;526;141;385;515;485
"186";"20. Neyman CARA";"20. Neyman CARA";186;199;194;5;987;13
"187";"20. Neyman CARA";"20. Neyman CARA";187;208;204;4;995;5
"188";"20. Neyman CARA";"20. Neyman CARA";188;393;90;303;485;515
"189";"20. Neyman CARA";"20. Neyman CARA";189;542;160;382;516;484
"190";"20. Neyman CARA";"20. Neyman CARA";190;521;147;374;514;486
"191";"20. Neyman CARA";"20. Neyman CARA";191;213;210;3;994;6
"192";"20. Neyman CARA";"20. Neyman CARA";192;206;201;5;994;6
"193";"20. Neyman CARA";"20. Neyman CARA";193;531;162;369;516;484
"194";"20. Neyman CARA";"20. Neyman CARA";194;422;114;308;475;525
"195";"20. Neyman CARA";"20. Neyman CARA";195;403;106;297;517;483
"196";"20. Neyman CARA";"20. Neyman CARA";196;390;106;284;497;503
"197";"20. Neyman CARA";"20. Neyman CARA";197;425;107;318;493;507
"198";"20. Neyman CARA";"20. Neyman CARA";198;401;120;281;551;449
"199";"20. Neyman CARA";"20. Neyman CARA";199;344;151;193;694;306
"200";"20. Neyman CARA";"20. Neyman CARA";200;212;209;3;994;6
"201";"20. Neyman CARA";"20. Neyman CARA";201;458;122;336;524;476
"202";"20. Neyman CARA";"20. Neyman CARA";202;394;90;304;507;493
"203";"20. Neyman CARA";"20. Neyman CARA";203;249;179;70;868;132
"204";"20. Neyman CARA";"20. Neyman CARA";204;199;195;4;994;6
"205";"20. Neyman CARA";"20. Neyman CARA";205;376;83;293;500;500
"206";"20. Neyman CARA";"20. Neyman CARA";206;262;55;207;485;515
"207";"20. Neyman CARA";"20. Neyman CARA";207;511;152;359;515;485
"208";"20. Neyman CARA";"20. Neyman CARA";208;381;88;293;492;508
"209";"20. Neyman CARA";"20. Neyman CARA";209;376;117;259;540;460
"210";"20. Neyman CARA";"20. Neyman CARA";210;404;123;281;524;476
"211";"20. Neyman CARA";"20. Neyman CARA";211;233;54;179;489;511
"212";"20. Neyman CARA";"20. Neyman CARA";212;392;101;291;492;508
"213";"20. Neyman CARA";"20. Neyman CARA";213;418;109;309;509;491
"214";"20. Neyman CARA";"20. Neyman CARA";214;417;109;308;479;521
"215";"20. Neyman CARA";"20. Neyman CARA";215;402;102;300;501;499
"216";"20. Neyman CARA";"20. Neyman CARA";216;195;192;3;995;5
"217";"20. Neyman CARA";"20. Neyman CARA";217;550;162;388;514;486
"218";"20. Neyman CARA";"20. Neyman CARA";218;458;136;322;498;502
"219";"20. Neyman CARA";"20. Neyman CARA";219;407;95;312;486;514
"220";"20. Neyman CARA";"20. Neyman CARA";220;213;208;5;993;7
"221";"20. Neyman CARA";"20. Neyman CARA";221;204;199;5;993;7
"222";"20. Neyman CARA";"20. Neyman CARA";222;381;123;258;556;444
"223";"20. Neyman CARA";"20. Neyman CARA";223;216;211;5;994;6
"224";"20. Neyman CARA";"20. Neyman CARA";224;187;183;4;995;5
"225";"20. Neyman CARA";"20. Neyman CARA";225;319;120;199;676;324
"226";"20. Neyman CARA";"20. Neyman CARA";226;532;141;391;516;484
"227";"20. Neyman CARA";"20. Neyman CARA";227;203;199;4;995;5
"228";"20. Neyman CARA";"20. Neyman CARA";228;408;118;290;511;489
"229";"20. Neyman CARA";"20. Neyman CARA";229;203;198;5;994;6
"230";"20. Neyman CARA";"20. Neyman CARA";230;535;149;386;515;485
"231";"20. Neyman CARA";"20. Neyman CARA";231;213;209;4;995;5
"232";"20. Neyman CARA";"20. Neyman CARA";232;393;86;307;464;536
"233";"20. Neyman CARA";"20. Neyman CARA";233;255;47;208;486;514
"234";"20. Neyman CARA";"20. Neyman CARA";234;267;48;219;486;514
"235";"20. Neyman CARA";"20. Neyman CARA";235;528;155;373;510;490
"236";"20. Neyman CARA";"20. Neyman CARA";236;531;134;397;515;485
"237";"20. Neyman CARA";"20. Neyman CARA";237;205;197;8;990;10
"238";"20. Neyman CARA";"20. Neyman CARA";238;202;197;5;993;7
"239";"20. Neyman CARA";"20. Neyman CARA";239;522;150;372;504;496
"240";"20. Neyman CARA";"20. Neyman CARA";240;541;152;389;511;489
"241";"20. Neyman CARA";"20. Neyman CARA";241;201;196;5;994;6
"242";"20. Neyman CARA";"20. Neyman CARA";242;427;104;323;489;511
"243";"20. Neyman CARA";"20. Neyman CARA";243;391;97;294;513;487
"244";"20. Neyman CARA";"20. Neyman CARA";244;192;188;4;994;6
"245";"20. Neyman CARA";"20. Neyman CARA";245;293;161;132;776;224
"246";"20. Neyman CARA";"20. Neyman CARA";246;404;94;310;494;506
"247";"20. Neyman CARA";"20. Neyman CARA";247;383;98;285;504;496
"248";"20. Neyman CARA";"20. Neyman CARA";248;192;187;5;994;6
"249";"20. Neyman CARA";"20. Neyman CARA";249;268;52;216;484;516
"250";"20. Neyman CARA";"20. Neyman CARA";250;385;87;298;492;508
"251";"20. Neyman CARA";"20. Neyman CARA";251;398;95;303;484;516
"252";"20. Neyman CARA";"20. Neyman CARA";252;399;91;308;471;529
"253";"20. Neyman CARA";"20. Neyman CARA";253;412;105;307;486;514
"254";"20. Neyman CARA";"20. Neyman CARA";254;537;160;377;516;484
"255";"20. Neyman CARA";"20. Neyman CARA";255;410;100;310;506;494
"256";"20. Neyman CARA";"20. Neyman CARA";256;394;93;301;499;501
"257";"20. Neyman CARA";"20. Neyman CARA";257;397;118;279;538;462
"258";"20. Neyman CARA";"20. Neyman CARA";258;404;108;296;492;508
"259";"20. Neyman CARA";"20. Neyman CARA";259;414;102;312;493;507
"260";"20. Neyman CARA";"20. Neyman CARA";260;390;107;283;508;492
"261";"20. Neyman CARA";"20. Neyman CARA";261;408;91;317;481;519
"262";"20. Neyman CARA";"20. Neyman CARA";262;216;213;3;995;5
"263";"20. Neyman CARA";"20. Neyman CARA";263;208;203;5;992;8
"264";"20. Neyman CARA";"20. Neyman CARA";264;248;39;209;484;516
"265";"20. Neyman CARA";"20. Neyman CARA";265;537;164;373;514;486
"266";"20. Neyman CARA";"20. Neyman CARA";266;212;206;6;992;8
"267";"20. Neyman CARA";"20. Neyman CARA";267;189;187;2;994;6
"268";"20. Neyman CARA";"20. Neyman CARA";268;242;188;54;913;87
"269";"20. Neyman CARA";"20. Neyman CARA";269;529;149;380;515;485
"270";"20. Neyman CARA";"20. Neyman CARA";270;209;206;3;995;5
"271";"20. Neyman CARA";"20. Neyman CARA";271;279;58;221;483;517
"272";"20. Neyman CARA";"20. Neyman CARA";272;195;191;4;994;6
"273";"20. Neyman CARA";"20. Neyman CARA";273;211;206;5;994;6
"274";"20. Neyman CARA";"20. Neyman CARA";274;193;190;3;994;6
"275";"20. Neyman CARA";"20. Neyman CARA";275;328;74;254;487;513
"276";"20. Neyman CARA";"20. Neyman CARA";276;419;111;308;488;512
"277";"20. Neyman CARA";"20. Neyman CARA";277;401;89;312;484;516
"278";"20. Neyman CARA";"20. Neyman CARA";278;395;88;307;466;534
"279";"20. Neyman CARA";"20. Neyman CARA";279;382;110;272;533;467
"280";"20. Neyman CARA";"20. Neyman CARA";280;223;220;3;995;5
"281";"20. Neyman CARA";"20. Neyman CARA";281;541;160;381;523;477
"282";"20. Neyman CARA";"20. Neyman CARA";282;334;165;169;710;290
"283";"20. Neyman CARA";"20. Neyman CARA";283;222;219;3;994;6
"284";"20. Neyman CARA";"20. Neyman CARA";284;419;92;327;487;513
"285";"20. Neyman CARA";"20. Neyman CARA";285;414;110;304;501;499
"286";"20. Neyman CARA";"20. Neyman CARA";286;206;202;4;991;9
"287";"20. Neyman CARA";"20. Neyman CARA";287;399;109;290;495;505
"288";"20. Neyman CARA";"20. Neyman CARA";288;218;212;6;993;7
"289";"20. Neyman CARA";"20. Neyman CARA";289;209;201;8;991;9
"290";"20. Neyman CARA";"20. Neyman CARA";290;383;106;277;509;491
"291";"20. Neyman CARA";"20. Neyman CARA";291;427;126;301;517;483
"292";"20. Neyman CARA";"20. Neyman CARA";292;416;112;304;500;500
"293";"20. Neyman CARA";"20. Neyman CARA";293;262;44;218;484;516
"294";"20. Neyman CARA";"20. Neyman CARA";294;540;151;389;517;483
"295";"20. Neyman CARA";"20. Neyman CARA";295;519;151;368;515;485
"296";"20. Neyman CARA";"20. Neyman CARA";296;364;89;275;524;476
"297";"20. Neyman CARA";"20. Neyman CARA";297;258;42;216;485;515
"298";"20. Neyman CARA";"20. Neyman CARA";298;238;52;186;487;513
"299";"20. Neyman CARA";"20. Neyman CARA";299;283;58;225;485;515
"300";"20. Neyman CARA";"20. Neyman CARA";300;411;100;311;501;499
"301";"20. Neyman CARA";"20. Neyman CARA";301;411;78;333;461;539
"302";"20. Neyman CARA";"20. Neyman CARA";302;415;115;300;510;490
"303";"20. Neyman CARA";"20. Neyman CARA";303;202;197;5;994;6
"304";"20. Neyman CARA";"20. Neyman CARA";304;553;161;392;514;486
"305";"20. Neyman CARA";"20. Neyman CARA";305;226;206;20;969;31
"306";"20. Neyman CARA";"20. Neyman CARA";306;442;127;315;507;493
"307";"20. Neyman CARA";"20. Neyman CARA";307;520;146;374;515;485
"308";"20. Neyman CARA";"20. Neyman CARA";308;413;92;321;494;506
"309";"20. Neyman CARA";"20. Neyman CARA";309;397;100;297;495;505
"310";"20. Neyman CARA";"20. Neyman CARA";310;421;112;309;495;505
"311";"20. Neyman CARA";"20. Neyman CARA";311;374;115;259;550;450
"312";"20. Neyman CARA";"20. Neyman CARA";312;406;86;320;470;530
"313";"20. Neyman CARA";"20. Neyman CARA";313;546;168;378;515;485
"314";"20. Neyman CARA";"20. Neyman CARA";314;560;166;394;515;485
"315";"20. Neyman CARA";"20. Neyman CARA";315;220;216;4;993;7
"316";"20. Neyman CARA";"20. Neyman CARA";316;337;74;263;492;508
"317";"20. Neyman CARA";"20. Neyman CARA";317;409;109;300;494;506
"318";"20. Neyman CARA";"20. Neyman CARA";318;417;95;322;471;529
"319";"20. Neyman CARA";"20. Neyman CARA";319;544;155;389;515;485
"320";"20. Neyman CARA";"20. Neyman CARA";320;295;131;164;707;293
"321";"20. Neyman CARA";"20. Neyman CARA";321;508;156;352;518;482
"322";"20. Neyman CARA";"20. Neyman CARA";322;416;97;319;488;512
"323";"20. Neyman CARA";"20. Neyman CARA";323;215;212;3;993;7
"324";"20. Neyman CARA";"20. Neyman CARA";324;427;111;316;502;498
"325";"20. Neyman CARA";"20. Neyman CARA";325;395;106;289;496;504
"326";"20. Neyman CARA";"20. Neyman CARA";326;388;104;284;523;477
"327";"20. Neyman CARA";"20. Neyman CARA";327;376;111;265;562;438
"328";"20. Neyman CARA";"20. Neyman CARA";328;269;51;218;486;514
"329";"20. Neyman CARA";"20. Neyman CARA";329;402;107;295;492;508
"330";"20. Neyman CARA";"20. Neyman CARA";330;194;188;6;993;7
"331";"20. Neyman CARA";"20. Neyman CARA";331;528;139;389;515;485
"332";"20. Neyman CARA";"20. Neyman CARA";332;396;113;283;536;464
"333";"20. Neyman CARA";"20. Neyman CARA";333;214;209;5;994;6
"334";"20. Neyman CARA";"20. Neyman CARA";334;432;94;338;461;539
